\begin{longtable}{lllllllllll}
\toprule
 & map & scExp & defExp & myExp & scMin & defMin & myMin & scAlp & defAlp & myAlp \\
\midrule
\endfirsthead
\toprule
 & map & scExp & defExp & myExp & scMin & defMin & myMin & scAlp & defAlp & myAlp \\
\midrule
\endhead
\midrule
\multicolumn{11}{r}{Continued on next page} \\
\midrule
\endfoot
\bottomrule
\endlastfoot
0 & capsule & (-430, 0) & (-430, 0) & (1058, 1) & (-430, 0) & (-440, 0) & (865, 1) & (-430, 0) & (-440, 0) & (865, 1) \\
1 & capsule & (368, 0) & (-459, 0) & (869, 1) & (-506, 0) & (-459, 0) & (868, 1) & (-506, 0) & (-459, 0) & (868, 1) \\
2 & capsule & (109, 0) & (-112, 0) & (849, 1) & (-548, 0) & (-112, 0) & (1048, 1) & (-548, 0) & (-112, 0) & (1048, 1) \\
3 & capsule & (-404, 0) & (-289, 0) & (1453, 1) & (-333, 0) & (-302, 0) & (181, 0) & (-333, 0) & (-302, 0) & (181, 0) \\
4 & capsule & (-307, 0) & (-533, 0) & (1258, 1) & (-496, 0) & (-533, 0) & (1816, 1) & (-496, 0) & (-533, 0) & (1816, 1) \\
5 & small & (1221, 1) & (982, 1) & (1374, 1) & (-204, 0) & (950, 1) & (1574, 1) & (-204, 0) & (950, 1) & (1574, 1) \\
6 & small & (1249, 1) & (985, 1) & (1567, 1) & (230, 0) & (1178, 1) & (1160, 1) & (230, 0) & (1178, 1) & (1160, 1) \\
7 & small & (1070, 1) & (952, 1) & (1576, 1) & (989, 1) & (933, 1) & (1575, 1) & (989, 1) & (933, 1) & (1575, 1) \\
8 & small & (-4, 0) & (954, 1) & (1572, 1) & (-4, 0) & (964, 1) & (1561, 1) & (-4, 0) & (964, 1) & (1561, 1) \\
9 & small & (1329, 1) & (945, 1) & (1728, 1) & (1329, 1) & (-343, 0) & (1762, 1) & (1329, 1) & (-343, 0) & (1762, 1) \\
10 & medium & (-560, 0) & (1252, 1) & (1739, 1) & (-558, 0) & (1254, 1) & (1739, 1) & (-558, 0) & (1254, 1) & (1739, 1) \\
11 & medium & (1520, 1) & (1734, 1) & (1892, 1) & (1520, 1) & (-675, 0) & (1926, 1) & (1520, 1) & (-675, 0) & (1926, 1) \\
12 & medium & (-1076, 0) & (1521, 1) & (1929, 1) & (-1074, 0) & (1451, 1) & (1726, 1) & (-1074, 0) & (1451, 1) & (1726, 1) \\
13 & medium & (1512, 1) & (1274, 1) & (1707, 1) & (1512, 1) & (1274, 1) & (1904, 1) & (1512, 1) & (1274, 1) & (1904, 1) \\
14 & medium & (1373, 1) & (1701, 1) & (1914, 1) & (1373, 1) & (1309, 1) & (1914, 1) & (1373, 1) & (1309, 1) & (1914, 1) \\
15 & minimax & (513, 1) & (-498, 0) & (-499, 0) & (-498, 0) & (-498, 0) & (-498, 0) & (-498, 0) & (-498, 0) & (-498, 0) \\
16 & minimax & (-495, 0) & (505, 1) & (-499, 0) & (-497, 0) & (505, 1) & (-499, 0) & (-497, 0) & (505, 1) & (-499, 0) \\
17 & minimax & (-494, 0) & (-497, 0) & (-497, 0) & (-495, 0) & (-497, 0) & (-495, 0) & (-495, 0) & (-497, 0) & (-495, 0) \\
18 & minimax & (513, 1) & (512, 1) & (513, 1) & (513, 1) & (-495, 0) & (513, 1) & (513, 1) & (-495, 0) & (513, 1) \\
19 & minimax & (-497, 0) & (511, 1) & (-499, 0) & (-497, 0) & (-499, 0) & (-499, 0) & (-497, 0) & (-499, 0) & (-499, 0) \\
20 & test & (420, 1) & (562, 1) & (564, 1) & (420, 1) & (564, 1) & (564, 1) & (420, 1) & (564, 1) & (564, 1) \\
21 & test & (540, 1) & (561, 1) & (562, 1) & (540, 1) & (563, 1) & (561, 1) & (540, 1) & (563, 1) & (561, 1) \\
22 & test & (552, 1) & (562, 1) & (562, 1) & (518, 1) & (562, 1) & (562, 1) & (518, 1) & (562, 1) & (562, 1) \\
23 & test & (546, 1) & (561, 1) & (564, 1) & (544, 1) & (558, 1) & (556, 1) & (544, 1) & (558, 1) & (556, 1) \\
24 & test & (520, 1) & (560, 1) & (564, 1) & (520, 1) & (564, 1) & (562, 1) & (520, 1) & (564, 1) & (562, 1) \\
25 & trapped & (-502, 0) & (-502, 0) & (-502, 0) & (-501, 0) & (-502, 0) & (-502, 0) & (-501, 0) & (-502, 0) & (-502, 0) \\
26 & trapped & (-502, 0) & (-502, 0) & (-502, 0) & (-501, 0) & (-502, 0) & (-502, 0) & (-501, 0) & (-502, 0) & (-502, 0) \\
27 & trapped & (-502, 0) & (-502, 0) & (-502, 0) & (-501, 0) & (-502, 0) & (-502, 0) & (-501, 0) & (-502, 0) & (-502, 0) \\
28 & trapped & (-502, 0) & (-502, 0) & (-502, 0) & (-501, 0) & (-502, 0) & (-502, 0) & (-501, 0) & (-502, 0) & (-502, 0) \\
29 & trapped & (-502, 0) & (-502, 0) & (-502, 0) & (-501, 0) & (-502, 0) & (-502, 0) & (-501, 0) & (-502, 0) & (-502, 0) \\
\end{longtable}
